net1 v(D0), v(D1), v(D2), v(D3), v(D4), v(D5), v(D6), i(viout), v(v_out_final) 
 1.47499016e-03, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, -7.71576477e-06, 6.84838569e-01 
 2.08106788e-03, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 6.96452966e-06, 6.84812752e-01 
 1.47395383e-03, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, -7.71575899e-06, 6.84838580e-01 
 1.47368484e-03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, -7.71575510e-06, 6.84838583e-01 
 8.69402584e-04, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 8.44909170e-06, 6.84863093e-01 
 2.08004440e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 6.96453662e-06, 6.84812705e-01 
 1.47327198e-03, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, -7.71575975e-06, 6.84838572e-01 
 1.47354783e-03, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, -7.71575773e-06, 6.84838573e-01 
 8.69388444e-04, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 8.44909178e-06, 6.84863202e-01 
 1.47447504e-03, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, -7.71575452e-06, 6.84838509e-01 
 8.70214026e-04, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 8.44907476e-06, 6.84862974e-01 
 8.70674165e-04, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 8.44900612e-06, 6.84863094e-01 
 2.50319589e-04, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, -8.93073830e-06, 6.84875340e-01 
 3.38918822e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, -3.94684464e-06, 6.84635994e-01 
 2.70782119e-03, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 5.97123466e-06, 6.84764175e-01 
 2.70742762e-03, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 5.97087526e-06, 6.84764247e-01 
 2.07600077e-03, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 6.96423773e-06, 6.84812754e-01 
 2.70614507e-03, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 5.97076451e-06, 6.84764241e-01 
 2.07484678e-03, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 6.96424895e-06, 6.84812752e-01 
 2.07453663e-03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 6.96432313e-06, 6.84812876e-01 
 1.46086477e-03, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, -7.71581247e-06, 6.84838578e-01 
 2.70599251e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 5.97076669e-06, 6.84764243e-01 
 2.07497782e-03, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 6.96424547e-06, 6.84812903e-01 
 2.07526864e-03, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 6.96432134e-06, 6.84812876e-01 
 1.46171564e-03, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, -7.71580950e-06, 6.84838505e-01 
 2.07652084e-03, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 6.96433582e-06, 6.84812754e-01 
 1.46270455e-03, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, -7.71580780e-06, 6.84838575e-01 
 1.46227822e-03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, -7.71580326e-06, 6.84838581e-01 
 8.64137397e-04, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 8.44937216e-06, 6.84863094e-01 
 2.70714281e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 5.97090029e-06, 6.84764246e-01 
 2.07588458e-03, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 6.96424575e-06, 6.84812878e-01 
 2.07627072e-03, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 6.96432132e-06, 6.84812707e-01 
 1.46227191e-03, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, -7.71582251e-06, 6.84838510e-01 
 2.07518122e-03, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 6.96433217e-06, 6.84812754e-01 
 1.46121776e-03, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, -7.71581673e-06, 6.84838529e-01 
 1.46094888e-03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, -7.71581283e-06, 6.84838570e-01 
 8.63089950e-04, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 8.44939412e-06, 6.84863093e-01 
 2.07424853e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 6.96433555e-06, 6.84812709e-01 
 1.46061384e-03, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, -7.71581518e-06, 6.84838569e-01 
 1.46090257e-03, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, -7.71581319e-06, 6.84838535e-01 
 8.63181537e-04, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 8.44939262e-06, 6.84863095e-01 
 1.46180711e-03, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, -7.71580986e-06, 6.84838511e-01 
 8.64019584e-04, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 8.44937580e-06, 6.84863094e-01 
 8.64417304e-04, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 8.44928709e-06, 6.84864138e-01 
 2.42211176e-04, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, -8.93077019e-06, 6.84874843e-01 
